concept,period,cik,val,end
Revenues,CY2023,1649744,646681000.0,2024-01-28
Revenues,CY2023,1652044,307394000000.0,2023-12-31
Revenues,CY2023,1655759,78500000.0,2023-12-31
Revenues,CY2023,1658551,380786000.0,2023-12-31
Revenues,CY2023,1661181,433140000.0,2023-12-31
Revenues,CY2023,1661460,64703000.0,2023-12-31
Revenues,CY2023,1666071,309204000.0,2023-12-31
Revenues,CY2023,1671284,1160802000.0,2023-12-31
Revenues,CY2023,1671927,249428000.0,2023-12-31
Revenues,CY2023,1673358,10978000000.0,2023-12-31
Revenues,CY2023,1677703,3722000000.0,2023-12-31
Revenues,CY2023,1679049,1071775000.0,2023-12-31
Revenues,CY2023,1679788,3108383000.0,2023-12-31
Revenues,CY2023,1682745,103570000.0,2023-12-31
Revenues,CY2023,1692063,5498900000.0,2023-12-31
Revenues,CY2023,1692427,142471000.0,2023-12-31
Revenues,CY2023,1692819,14779000000.0,2023-12-31
Revenues,CY2023,1696558,117187340.0,2024-03-31
Revenues,CY2023,1701051,686700000.0,2023-12-31
Revenues,CY2023,1702780,9237064000.0,2023-12-31
Revenues,CY2023,1703399,13063560000.0,2023-12-31
Revenues,CY2023,1704292,266719000.0,2023-12-31
Revenues,CY2023,1705402,68758258.0,2023-12-31
Revenues,CY2023,1710366,2568877000.0,2023-12-31
Revenues,CY2023,1712189,563608000.0,2023-12-31
Revenues,CY2023,1712463,336300000.0,2023-12-31
Revenues,CY2023,1713334,445538000.0,2023-12-31
Revenues,CY2023,1720116,60204000.0,2023-12-31
Revenues,CY2023,1720671,583137000.0,2024-01-31
Revenues,CY2023,1720990,272883000.0,2023-12-31
Revenues,CY2023,1722482,6967200000.0,2023-12-31
Revenues,CY2023,1722684,1397000000.0,2023-12-31
Revenues,CY2023,1724755,229194451.0,2023-12-31
Revenues,CY2023,1724965,1457886000.0,2023-12-31
Revenues,CY2023,1725123,1701918741.0,2023-12-31
Revenues,CY2023,1729149,183008000.0,2023-12-31
Revenues,CY2023,1730430,270259000.0,2023-12-31
Revenues,CY2023,1735041,90333240.0,2023-12-31
Revenues,CY2023,1739445,2307900000.0,2023-12-31
Revenues,CY2023,1739942,758740000.0,2023-12-31
Revenues,CY2023,1742692,492048000.0,2023-12-31
Revenues,CY2023,1753673,206323000.0,2023-12-31
Revenues,CY2023,1754170,334503000.0,2023-12-31
Revenues,CY2023,1756262,241623000.0,2023-12-31
Revenues,CY2023,1757898,5138700000.0,2024-03-31
Revenues,CY2023,1758488,794045000.0,2023-12-31
Revenues,CY2023,1759614,90172000.0,2023-12-31
Revenues,CY2023,1760689,306617000.0,2023-12-31
Revenues,CY2023,1762303,50143000.0,2023-12-31
Revenues,CY2023,1766363,5490777000.0,2023-12-31
Revenues,CY2023,1769624,54189000.0,2023-12-31
Revenues,CY2023,1769731,130914000.0,2023-12-31
Revenues,CY2023,1769768,65953672.0,2023-06-30
Revenues,CY2023,1770088,82647287.0,2023-12-31
Revenues,CY2023,1775898,85576000.0,2023-12-31
Revenues,CY2023,1776661,3900125000.0,2023-12-31
Revenues,CY2023,1778982,168390000.0,2023-12-31
Revenues,CY2023,1782037,89002243.0,2023-12-31
Revenues,CY2023,1782754,1370316000.0,2023-09-30
Revenues,CY2023,1784535,430302000.0,2023-12-31
Revenues,CY2023,1786431,3756000000.0,2023-12-31
Revenues,CY2023,1787306,59606000.0,2023-12-31
Revenues,CY2023,1788999,521334000.0,2023-12-31
Revenues,CY2023,1789832,1348600000.0,2023-12-31
Revenues,CY2023,1792267,75696000.0,2023-12-31
Revenues,CY2023,1795589,992614000.0,2023-12-31
Revenues,CY2023,1800392,81891992.0,2023-12-31
Revenues,CY2023,1803696,388788000.0,2023-12-31
Revenues,CY2023,1804591,219638000.0,2024-03-31
Revenues,CY2023,1805385,79565000.0,2023-12-31
Revenues,CY2023,1813452,98505170.0,2023-12-31
Revenues,CY2023,1816017,97612000.0,2023-12-31
Revenues,CY2023,1816613,93784000.0,2023-12-31
Revenues,CY2023,1818201,866378000.0,2023-12-31
Revenues,CY2023,1821825,6263000000.0,2023-12-31
Revenues,CY2023,1824403,144855690.0,2024-03-31
Revenues,CY2023,1825024,1314412000.0,2023-12-31
Revenues,CY2023,1825079,77443000.0,2023-12-31
Revenues,CY2023,1826600,174904000.0,2023-12-31
Revenues,CY2023,1830081,80963451.0,2023-12-31
Revenues,CY2023,1831915,193015000.0,2023-12-31
Revenues,CY2023,1832433,29734000000.0,2023-07-31
Revenues,CY2023,1832466,1823630000.0,2023-12-31
Revenues,CY2023,1833835,1601138000.0,2023-12-31
Revenues,CY2023,1834489,412977000.0,2023-12-31
Revenues,CY2023,1835615,97098915.0,2023-12-31
Revenues,CY2023,1835963,569946000.0,2023-12-31
Revenues,CY2023,1837014,236838000.0,2023-12-31
Revenues,CY2023,1839439,552692000.0,2023-06-30
Revenues,CY2023,1839608,72680000.0,2023-12-31
Revenues,CY2023,1840776,1027117000.0,2023-12-31
Revenues,CY2023,1842022,922000000.0,2023-12-31
Revenues,CY2023,1845257,1055665000.0,2023-12-31
Revenues,CY2023,1845338,729695000.0,2023-12-31
Revenues,CY2023,1845815,831103000.0,2023-12-31
Revenues,CY2023,1846510,1125134000.0,2023-12-31
Revenues,CY2023,1847986,64392000.0,2023-12-31
Revenues,CY2023,1851112,297610000.0,2023-12-31
Revenues,CY2023,1852131,2499841000.0,2024-03-31
Revenues,CY2023,1854545,2812887000.0,2023-12-31
